西藏,1,0,1,0,0,0,0,0
澳门,78,0,77,1,1,0,0,1
青海,30,0,30,0,0,0,0,0
台湾,16950,850,13742,2358,35,0,0,35
香港,12609,213,12189,207,20,0,0,20
贵州,159,2,157,0,0,0,0,0
吉林,589,3,579,7,0,0,0,0
新疆,981,3,978,0,0,0,0,0
宁夏,122,0,122,0,0,0,0,0
内蒙古,1186,1,1066,119,0,0,49,-49
甘肃,356,2,349,5,0,0,4,-4
天津,565,3,524,38,1,0,1,0
山西,265,0,265,0,0,0,0,0
辽宁,793,2,787,4,0,0,1,-1
黑龙江,2035,13,2022,0,0,0,4,-4
海南,190,6,184,0,0,0,0,0
河北,1458,7,1451,0,0,0,0,0
陕西,1573,3,711,859,182,0,5,177
云南,1809,2,1717,90,3,0,5,-2
广西,605,2,341,262,6,0,0,6
福建,1352,1,1321,30,2,0,3,-1
上海,3067,7,2900,160,11,0,4,7
北京,1208,9,1185,14,0,0,1,-1
江苏,1624,0,1620,4,0,0,0,0
四川,1315,3,1280,32,6,0,2,4
山东,1041,7,1006,28,1,0,1,0
江西,959,1,958,0,0,0,0,0
重庆,611,6,602,3,0,0,0,0
安徽,1009,6,1002,1,0,0,0,0
湖南,1216,4,1195,17,0,0,0,0
河南,1641,22,1592,27,0,0,2,-2
广东,3433,8,3338,87,4,0,1,3
浙江,2008,1,1502,505,2,0,0,2
湖北,68316,4512,63804,0,0,0,0,0
韩国,615532,5346,500273,109913,0,,,
塔吉克斯坦,17095,124,16966,5,0,,,
阿拉伯联合酋长国,754911,2160,742565,10186,3578,,,
也门,10123,1984,7014,1125,8,,,
老挝,107740,342,7339,100059,962,,,
缅甸,530000,19260,507586,3154,187,,,
叙利亚,50127,2879,32036,15212,38,,,
东帝汶,19833,122,19704,7,0,,,
吉尔吉斯斯坦,184552,2798,179680,2074,46,,,
乌兹别克斯坦,198487,1484,195520,1483,100,,,
哈萨克斯坦,986553,12986,958277,15290,354,,,
土耳其,9365399,81917,8988852,294630,26099,,,
蒙古国,388755,2056,313256,73443,157,,,
塞浦路斯,154926,630,124370,29926,1925,,,
文莱,15461,98,15264,99,3,,,
孟加拉国,1584023,28062,1548044,7917,397,,,
马尔代夫,95222,262,92820,2140,168,,,
不丹,2660,3,2642,15,0,,,
巴勒斯坦,438940,4650,430488,3802,677,,,
沙特阿拉伯,553921,8873,541157,3891,602,,,
约旦,1057295,12556,1007135,37604,2024,,,
印度尼西亚,4262157,144071,4113472,4614,278,,,
亚美尼亚,344649,7965,331027,5657,109,,,
卡塔尔,248802,616,245047,3139,367,,,
阿塞拜疆,615312,8324,596545,10443,376,,,
格鲁吉亚,928030,13646,888022,26362,2676,,,
巴基斯坦,1294031,28912,1255204,9915,316,,,
阿曼,305253,4114,300341,798,79,,,
阿富汗,157998,7355,145527,5116,31,,,
巴林,280482,1394,277022,2066,304,,,
科威特,415678,2468,411442,1768,198,,,
伊拉克,2092875,24146,2063808,4921,0,,,
黎巴嫩,715950,9072,659448,47430,1100,,,
以色列,1371007,8243,1346518,16246,4451,,,
伊朗,6188857,131474,6030632,26751,2128,,,
印度,34808067,480320,34243945,83802,6358,,,
菲律宾,2839111,51213,2778148,9750,319,,,
斯里兰卡,584586,14923,559875,9788,479,,,
柬埔寨,120469,3010,116885,574,5,,,
尼泊尔,827763,11588,811265,4910,241,,,
越南,1680985,31632,1264282,385071,14440,,,
马来西亚,2746833,31392,2673084,42357,2757,,,
日本,1732044,18388,1711430,2226,384,,,
新加坡,278409,825,274808,2776,280,,,
泰国,2214712,21630,2159443,33639,2305,,,
圣赫勒拿,2,0,2,0,0,,,
海峡群岛,23627,112,20939,2576,0,,,
马恩岛,13487,67,13057,363,8,,,
黑山,165074,2398,158332,4344,581,,,
法罗群岛,5261,13,4779,469,112,,,
阿尔巴尼亚,208352,3207,199883,5262,168,,,
保加利亚,737233,30657,608448,98128,1278,,,
摩尔多瓦,374763,9625,360772,4366,237,,,
马耳他,48380,476,39757,8147,1298,,,
斯洛伐克,831093,16486,765544,49063,4243,,,
梵蒂冈,27,0,27,0,0,,,
塞尔维亚,1293394,12645,1259173,21576,1676,,,
直布罗陀,8297,100,7559,638,77,,,
列支敦士登,5982,69,5637,276,42,,,
波黑,288876,13365,192218,83293,748,,,
匈牙利,1246689,38894,1091017,116778,1370,,,
斯洛文尼亚,458568,5565,436795,16208,1813,,,
波兰,4064715,94914,3595914,373887,9850,,,
乌克兰,3649236,95105,3437528,116603,2248,,,
拉脱维亚,272952,4529,257839,10584,1186,,,
葡萄牙,1303291,18909,1169841,114541,0,,,
安道尔,22540,140,20442,1958,602,,,
捷克,2454645,35911,2286187,132547,6887,,,
爱尔兰,731467,5890,554164,171413,15741,,,
卢森堡,100203,910,93399,5894,734,,,
圣马力诺,7655,98,6725,832,129,,,
摩纳哥,4889,38,4471,380,43,,,
冰岛,25314,37,20282,4995,974,,,
白俄罗斯,694727,5528,687191,2008,501,,,
立陶宛,513830,7328,481835,24667,1606,,,
荷兰,3085553,20803,2578851,485899,9111,,,
爱沙尼亚,238079,1918,221295,14866,980,,,
丹麦,727463,3231,567285,156947,12330,,,
罗马尼亚,1804455,58642,1734715,11098,1144,,,
北马其顿,223739,7917,211021,4801,119,,,
挪威,382789,1258,88952,292579,3750,,,
希腊,1105885,20557,1001645,83683,9284,,,
瑞士,1270650,12227,988625,269798,49226,,,
克罗地亚,697952,12425,667186,18341,4139,,,
奥地利,1268519,13672,1226425,28422,2416,,,
比利时,2052871,28218,1673484,351169,14760,,,
西班牙,6032297,89253,5041873,901171,214619,,,
瑞典,1294560,15245,1188217,91098,21247,,,
俄罗斯,10437152,306090,9337447,793615,21922,,,
英国,12338676,148021,10179898,2010757,318699,,,
意大利,5756412,136955,5020601,598856,30799,,,
芬兰,236755,1523,46000,189232,2714,,,
德国,7059346,111752,6217800,729794,20688,,,
法国,9326258,123188,7926033,1277037,30383,,,
莱索托,28126,665,14933,12528,0,,,
科摩罗,5867,154,4502,1211,138,,,
圣多美和普林西比,3790,57,3678,55,1,,,
南苏丹,14860,135,12789,1936,0,,,
马拉维,72135,2343,59660,10132,544,,,
布隆迪,26224,38,773,25413,2567,,,
塞拉利昂,6819,123,4393,2303,35,,,
博茨瓦纳,212482,2439,196455,13588,3488,,,
几内亚比绍,6466,149,6299,18,0,,,
马里,20287,658,18450,1179,41,,,
利比亚,386878,5676,374667,6535,599,,,
莫桑比克,175648,1976,153026,20646,673,,,
厄立特里亚,7931,73,7711,147,16,,,
乌干达,135998,3285,98321,34392,907,,,
安哥拉,76787,1756,64046,10985,0,,,
马达加斯加,49590,1027,44708,3855,0,,,
津巴布韦,207548,4940,169963,32645,1098,,,
佛得角,39345,351,38196,798,101,,,
尼日尔,7307,274,6900,133,18,,,
乍得,5701,181,4874,646,0,,,
毛里求斯,23293,762,21840,691,42,,,
赞比亚,238383,3716,213580,21087,3907,,,
吉布提,13603,189,13341,73,21,,,
冈比亚,10136,342,9688,106,49,,,
贝宁,24935,161,24705,69,0,,,
索马里,23532,1333,12948,9251,0,,,
坦桑尼亚,26483,734,183,25566,0,,,
利比里亚,6228,287,5535,406,299,,,
马约特,21679,185,2964,18530,115,,,
刚果（布）,20089,367,12421,7301,599,,,
中非共和国,12163,101,6859,5203,202,,,
塞舌尔,24197,131,23742,324,0,,,
赤道几内亚,13637,175,13410,52,0,,,
纳米比亚,146459,3613,129775,13071,362,,,
卢旺达,105989,1348,45522,59119,962,,,
斯威士兰,64873,1292,56583,6998,118,,,
毛里塔尼亚,40737,862,39072,803,110,,,
苏丹,46292,3298,38714,4280,66,,,
几内亚,31238,389,29804,1045,121,,,
埃塞俄比亚,405745,6911,353787,45047,1864,,,
肯尼亚,285654,5364,250727,29563,1504,,,
加蓬,39910,288,36740,2882,1871,,,
加纳,140221,1283,130384,8554,2521,,,
留尼汪岛,76602,409,69431,6762,0,,,
科特迪瓦,65066,707,61377,2982,680,,,
刚果（金）,72349,1205,50930,20214,2290,,,
布基纳法索,17632,318,16619,695,0,,,
多哥,28925,246,26091,2588,236,,,
喀麦隆,109367,1851,106050,1466,0,,,
南非,3424534,90854,3134314,199366,3778,,,
突尼斯,724092,25548,695626,2918,329,,,
塞内加尔,74516,1890,72369,257,47,,,
摩洛哥,957594,14837,938479,4278,291,,,
尼日利亚,239019,3027,213180,22812,859,,,
埃及,382194,21639,317745,42810,851,,,
阿尔及利亚,217265,6254,149413,61598,293,,,
汤加王国,1,0,1,0,0,,,
帕劳共和国,10,0,8,2,2,,,
密克罗尼西亚,1,0,1,0,0,,,
萨摩亚独立国,3,0,3,0,0,,,
瓦努阿图共和国,7,1,6,0,0,,,
马绍尔群岛,4,0,4,0,0,,,
瓦利斯和富图纳群岛,454,7,438,9,0,,,
所罗门群岛,22,0,20,2,0,,,
巴布亚新几内亚,36130,590,35405,135,20,,,
新喀里多尼亚,12690,281,12103,306,44,,,
斐济,53023,697,51223,1103,0,,,
法属波利尼西亚,46382,636,33500,12246,6,,,
新西兰,13932,50,12548,1334,33,,,
澳大利亚,323278,2202,239782,81294,11192,,,
圣皮埃尔,98,0,78,20,0,,,
百慕大,6014,106,5674,234,0,,,
英属维尔京群岛,3071,39,2649,383,55,,,
安圭拉,1646,5,1605,36,0,,,
格林纳达,5961,200,5681,80,5,,,
圣基茨和尼维斯,2858,28,2776,54,0,,,
特克斯和凯科斯群岛,3276,26,3107,143,0,,,
伯利兹,31503,592,30415,496,0,,,
多米尼克,6520,44,6173,303,0,,,
蒙特塞拉特,45,1,43,1,0,,,
海地,25974,766,23243,1965,24,,,
萨尔瓦多,121741,3820,107088,10833,0,,,
尼加拉瓜,17442,211,4225,13006,0,,,
巴巴多斯,27836,260,26591,985,51,,,
格陵兰岛,2437,0,2161,276,57,,,
巴哈马,23539,713,21745,1081,0,,,
瓜德罗普,56035,750,2250,53035,0,,,
开曼群岛,8386,11,4799,3576,0,,,
阿鲁巴,18350,181,16663,1506,248,,,
库拉索,19645,186,17600,1859,198,,,
圣卢西亚,13357,295,12853,209,55,,,
圣文森特和格林纳丁斯,5843,81,5204,558,0,,,
安提瓜和巴布达,4259,118,4060,81,23,,,
危地马拉,625854,16099,608103,1652,91,,,
特立尼达和多巴哥,90364,2809,71052,16503,175,,,
古巴,965002,8321,956001,680,273,,,
洪都拉斯,379276,10432,123783,245061,203,,,
圣马丁岛,4838,75,4627,136,64,,,
圣巴泰勒米岛,1621,6,462,1153,0,,,
牙买加,92950,2464,65332,25154,84,,,
巴拿马,488341,7418,473977,6946,574,,,
马提尼克,47300,769,104,46427,0,,,
哥斯达黎加,570556,7353,560709,2494,0,,,
多米尼加,415359,4238,407706,3415,478,,,
墨西哥,3951946,298819,3302873,350254,943,,,
加拿大,2057489,30199,1842225,185065,54923,,,
美国,54136108,841926,41284331,12009851,569428,,,
马尔维纳斯群岛,83,0,68,15,0,,,
圭亚那合作共和国,39119,1050,37349,720,12,,,
苏里南,51683,1187,49083,1413,90,,,
乌拉圭,407981,6165,397586,4230,600,,,
委内瑞拉,443612,5316,432297,5999,280,,,
玻利维亚,580690,19576,522613,38501,1206,,,
法属圭亚那,47631,338,11254,36039,103,,,
巴拉圭,465564,16607,447701,1256,226,,,
哥伦比亚,5132277,129833,4963070,39374,3281,,,
秘鲁,2281362,202550,1720665,358147,2063,,,
阿根廷,5514207,117085,5277510,119612,20263,,,
智利,1801795,39059,1720349,42387,762,,,
厄瓜多尔,542960,33650,443880,65430,2219,,,
巴西,22254706,618723,21414318,221665,6840,,,
钻石公主号邮轮,712,13,699,0,0,,,
土耳其,9365399,81917,8988852,294630,26099,,,
伊朗,6188857,131474,6030632,26751,2128,,,
荷兰,3085553,20803,2578851,485899,9111,,,
比利时,2052871,28218,1673484,351169,14760,,,
西班牙,6032297,89253,5041873,901171,214619,,,
英国,12338676,148021,10179898,2010757,318699,,,
意大利,5756412,136955,5020601,598856,30799,,,
德国,7059346,111752,6217800,729794,20688,,,
法国,9326258,123188,7926033,1277037,30383,,,
美国,54136108,841926,41284331,12009851,569428,,,
